"site","rank1","rank2","rank3","notes"
"BIGC","N","G",,
"MART","N","L","G",
"WLOU","N",,,
"MCRA","N","L","G",
"TOMB","L","N",,
"FLNT","L","N","P",
"COMO","N","L","G",
"REDB","L","N",,
"BLWA","L","N",,
"BLDE","N","L","S",
"TECR","N","G",,"Generalist has higher score, but NEON data are still good, and LSTM output is at daily interval"
"CARI","N","L",,
"HOPB","L","G","N",
"OKSR","N","L",,
"POSE","L","N",,
"MCDI","L","N",,
"MAYF","L","N",,
"BLUE","L","N",,
"ARIK","N","L",,
"WALK","*","*","*","L and N should be “snapped” to G"
"GUIL","L","N",,
"PRIN","N",,,
"SYCA","L",,,
"KING","L",,,
"LECO","L","G",,
"CUPE","L",,,
"LEWI","L",,,
